title	rate	director	actor	category	showtime	length	box office	award	description
催眠大师	7.6	陈正道	徐峥/莫文蔚/胡静/吕中/王耀庆/杨凯迪	剧情/悬疑/惊悚	2014	104	27389	0	著名的心理治疗师徐瑞宁（徐峥 饰）擅长催眠治疗，深得业界的赞扬。但是心高气傲的他却遭遇了职业生涯中最棘手的案件，那就是恩师方教授（吕中 饰）推荐给他的女病人任小妍（莫文蔚 饰）。一天晚上，女助手Amy（杨凯迪 饰）引见来了任小妍，但是这个女病人似乎一直都不太配合，对待医生态度强硬，而且坚信自己能有超自然的能力，瑞宁觉得她没有说出真相，于是开始了催眠疗法。意想不到的是任小妍反而掌控了局面，而真相居然与瑞宁的妻子（胡静 饰）以及好友洛雨凇（王耀庆 饰）有关，任小妍的身份真正是什么？瑞宁似乎掉进了一个设计好的陷阱里……/                                    /                                　　本片是陈正道导演自《101次求婚》之后的一部力作，徐峥担任了本片监制及主演。
大红灯笼高高挂	8.3	张艺谋	巩俐/马精武/何赛飞/曹翠芬/周琦/孔琳/金淑媛/丁惟敏/初晓	剧情/爱情/历史	1991	125	18221	2	大学刚读半年的颂莲（巩俐）被贪钱的母亲逼迫着嫁进陈家大院，成了老爷的第四房姨太。陈府有老规矩，姨太太们傍晚时分要站在自已的屋子前，等待下人送来的意味被老爷“临幸”的大红灯笼。/                                    /                                　　起初因为“新人”身份，颂莲得到老爷最多宠幸，但也因此被其它三位姨太太尤其笑里藏刀的二姨太（曹翠芬）挤兑得叫苦不迭。因为涉世不深，生性反叛好强的颂莲急欲争一口气，使计又成老爷身边红人，不想计被看穿，终败于二姨太手下酿成悲剧。而三姨太（何赛飞）的经历虽与颂莲迥异，却也殊途同归逃不出宿命。
甲方乙方	8.2	冯小刚	葛优/刘蓓/何冰/冯小刚/英达/徐帆/杨立新/李琦/傅彪/李滨/叶京/刘震云/王小柱/张秋芳/孟赫/马永玲/孙桂田/李伟健	喜剧	1997	90	3600	2	四个年轻人姚远(葛优饰)，周北雁(刘蓓饰)，钱康(冯小刚饰)，梁子(何冰饰)是一群自由职业者。他们突发奇想，开办了一个“好梦一日游”业务，承诺帮人们过上梦想成真的一天。人们离奇古怪的愿望接踵而至，似乎人人都想给自己现有的生活来一个180度大转弯。于是，富贵的想尝试贫穷，明星想体验平凡，小平民想做巴顿将军，守不住秘密的厨子想成为守口如瓶的铮铮铁汉……在搞笑荒诞的愿望中，四个年轻人忙碌着扮演各种场景角色，他们把真情融入到了这些故事当中。生活过得充满乐趣，有滋有味。
暗战	8.4	杜琪峰	刘德华/刘青云/蒙嘉慧/李子雄/许绍雄/林雪/黄卓玲/林伟健/罗永昌	剧情/动作/犯罪	1999	93	1465	0	大盗张彼德（刘德华）得知生命只剩四周时，决定为死于黑道老大（李子雄）之手的父亲报仇，为此他精心设计打劫了黑道老大的运输公司隔壁的财务公司，并挟持人质引来因得罪上级被转调文职的高级谈判专家何尚志（刘青云）。/                                    /                                　　何尚志在同张彼德展开追逐时，虽屡战屡败，却渐了解到黑帮老大实则借助运输公司做非法走私珠宝的生意，于是同张彼德化敌为友，携手同黑帮势力展开了斗智斗勇的游戏。而张彼德在逃避何尚志追逐的过程中无意结识女孩梁婉婷（蒙嘉慧）后，在生命的尽头获得一份浪漫奇缘。
胭脂扣	8.3	关锦鹏	梅艳芳/张国荣/万梓良/朱宝意/温碧霞/谭倩红/谢贤/汪禹/刘家荣/惠英红/朱瑞棠	剧情/爱情	1988	96	1748	"3,4"	报社记者袁永定（万梓良 饰）遇到了一位前来登寻人广告的女子如花（梅艳芳 饰），无意中才发现了该名冷艳的女子原是鬼魂，早在50年前，她是一名红牌妓女，结识了一名纨绔子弟十二少陈振邦（张国荣 饰）。如花深深爱上了这名多情的公子，两人已到了谈婚论嫁的地步，由于身份悬殊，遭到了十二少家人的极力反对。无奈之下，他们以胭脂扣定情，一起吞鸦片殉情。如花未能在地府看到自己的爱人，便到阳间寻找。/                                    /                                　　如花在两名记者的帮助下，得知原来当年十二少被人救活了，如今生活潦倒。面对十二少的懦弱，如花伤心欲绝，把胭脂扣返还，回到阴间投胎转世。
人再囧途之泰囧	7.5	徐峥	徐峥/王宝强/黄渤/陶虹/谢楠/范冰冰	喜剧	2012	105	127192	0	商业成功人士徐朗（徐峥 饰）用了五年时间发明了一种叫“油霸”的神奇产品——每次汽车加油只需加到三分之二，再滴入2滴“油霸”，油箱的汽油就会变成满满一箱。徐朗的同学，兼商业竞争对手高博（黄渤 饰）想把这个发明一次性卖给法国人。但徐朗坚决不同意，他希望深入开发研究， 把“油霸”发扬光大，得到更远的收益。两个人各抒己见，争论不休，一直无果。由于两人股份相同，唯有得到公司最大股东周扬的授权书，方可达到各自目的。当得知周扬在泰国后，徐朗立刻启程寻找。而高博获悉后将一枚跟踪器放在徐朗身上一起去了泰国。飞机上，徐朗遇到了王宝（王宝强 饰），别有心机地想利用他来摆脱对手高博的追赶，可他不仅没甩掉王宝，还成了他的“贴身保姆”……/                                    /                                　　究竟徐朗和高博谁会最终拿到周扬的授权书？而三个各怀目的的人，又将带来一段如何爆笑的泰国神奇之旅？
食神	7.7	李力持 / 周星驰	周星驰/莫文蔚/刘以达/吴孟达/薛家燕/谷德昭/李兆基/江希文/田启文/欧锦棠/罗家英/钟丽缇/林雪	喜剧/动作	1996	88	4086	0	史提芬周（周星驰 饰）在饮食界是享誉盛名的食神，但一直骄傲自大，惟利是图。被身边得力助手陷害，一夜间一无所有。他在庙街认识了早已对他倾心的大姐大火鸡（莫文蔚 饰）及一众老大，靠着史提芬周的商业头脑，他们决定推出“爆浆癞尿牛丸”，史提芬周重出江湖的道路也越来越顺利。为了重新夺得食神的位置，他回到大陆寻找“中国厨艺学院”受训。火鸡一路跟着他想对他表白，史提芬被对手追杀，火鸡不顾生命为他档了一枪，生死未卜。学成归来的史提芬如期到达食神的比赛场地，没想到评判却被对手收买了……
不能说的秘密	7.6	周杰伦	周杰伦/桂纶镁/黄秋生/曾恺玹/苏明明	剧情/爱情/音乐/奇幻	2007	101	3676	0	叶湘伦（周杰伦 饰）是淡江艺术高中的一名插班生，父亲（黄秋生 饰）是该校的一名教师。这天同学晴依（曾恺玹 饰）带他参观学校，接着他独自来到了学校的旧琴房，本身弹得一首好曲的他被某处传来的一首钢琴曲吸引住了。他来到其中一间旧琴房，遇到了路小雨（桂纶镁 饰），纯纯的爱情故事由此发生了。一直以来，叶湘伦都觉得小雨充满了神秘，却无法进一步了解她。叶湘伦约小雨到琴房见面，叶湘伦以为晴依是小雨，跟晴依接吻时被小雨看到，自此之后叶湘伦就没有再看到小雨。叶湘伦到处寻找小雨，发现了那个小雨所说“不能说的秘密”的全部真相。
北京遇上西雅图	7.4	薛晓路	汤唯/吴秀波/海清/宋美曼/宋美慧/金燕玲/买红妹/布拉德·哈德/李绮虹	喜剧/爱情	2013	123	52016	0	“败金女”文佳佳（汤唯 饰）曾经是美食杂志编辑，对爱情充满了像电影《西雅图夜未眠》一样的浪漫幻想。而在现实中，为了给自己的孩子一个“美利坚公民”的身份，她不远万里只身来到西雅图的月子中心待产生子。/                                        /                                    　　在月子中心，文佳佳炫富的作风引发了房东（金燕玲 饰）和其他孕妇周逸（海清 饰）、陈悦（买红妹 饰）的反感，倍感孤独的她只能向司机郝志Frank（吴秀波 饰）倾诉心声。而看上去木讷老实的“落魄叔”Frank并不是一个平庸的男子，他在中国曾是一位一流的心血管疾病方面的名医。在相处中，Frank的体贴包容渐渐融化着文佳佳的刁蛮任性。当文佳佳的富豪男友突然失踪后，一夜之间变成穷人的文佳佳得到了Frank无微不至的照顾，跟Frank和他的女儿Julie（宋美曼 & 宋美慧 饰）一起生活的这段日子，让文佳佳找到了家的温暖。/                                        /                                    　　当经历了变故的文佳佳，生下了孩子，就要结束她...
归来	7.7	张艺谋	陈道明/巩俐/张慧雯/郭涛/刘佩琦/祖峰/闫妮/辛柏青/张嘉译/陈小艺/丁嘉丽	剧情/爱情/历史	2014	111	29146	"1,4"	上世纪70年代初，与家人音讯全无隔绝多年的劳改犯陆焉识（陈道明 饰）在一次农场转迁途中逃跑回家。这对怀抱芭蕾舞梦想的女儿丹丹（张慧雯 饰）带来了巨大压力，她阻止母亲冯婉瑜（巩俐 饰）与父亲的相见。因此夫妻二人近在咫尺却又相隔天涯。文革结束后，陆焉识终于平反回家，但是他却发现女儿早已放弃了芭蕾的梦想成了一名工厂女工，而深爱的妻子因为患病已经不认识自己。深厚的感情、生活的变故，迫使陆焉识做出了对他来说最荒唐却又最合理的人生选择……/                                    /                                　　本片是张艺谋导演加盟乐视影业后的第一部作品，被编剧邹静之誉为苦心之作。
天下无贼	7.6	冯小刚	刘德华/刘若英/王宝强/李冰冰/葛优/张涵予/尤勇/徐帆/傅彪/范伟/冯远征/林家栋	剧情/动作/犯罪	2004	113	12000	"2,3"	王薄（刘德华 饰）和王丽（刘若英 饰）本是一对最佳贼拍档，但因怀了王薄的孩子，王丽决定收手赎罪，两人产生分歧。在火车站遇到刚刚从城市里挣了一笔钱准备回老家用它盖房子娶媳妇的农村娃子傻根（王宝强 饰）后，王丽被他的单纯打动，决定暗中保护不使他的辛苦钱失窃，王薄却寻思找合适机会下手，但 最终因为“夫妻情深”归入了王丽的阵营。 不料傻根的钱早被以黎叔（葛优 饰）为头目的另一著名扒窃团伙盯上，于是一系列围绕傻根书包里的钞票、在王薄、王丽和黎叔团伙之间展开的强强斗争上演。
堕落天使	8.1	王家卫	黎明/李嘉欣/金城武/杨采妮/莫文蔚/陈辉虹/陈万雷/关莉娜/江道海	剧情/喜剧/爱情/犯罪	1995	90	747	0	天使1号（黎明）很懒惰，所以选择做了时间、地点、谁该死都不用操心的杀手。天使2号（李嘉欣）很冷艳，是1号的上线，喜欢华服夜出为1号清理房间。天使3号（金城武）很怪异，从不讲话的他爱做的事是半夜撬开别人的店面做生意和拿着摄像机将老爸拍个遍。天使4号很“现实”，虽无法忘记旧男友，却也能转身用另外的方式将自己安慰。天使5号（莫文蔚）很神经，喜欢在大雨夜冒出。/                                    /                                　　五位天使在自己的生活轨道上固执寂寞地前行着，为了避免换回更多伤心，他们在轨迹交叉时会提醒自己“忘记他是他”，可是，他们的真情还是会不由自主地流露出来。
重返20岁	7.2	陈正道	杨子姗/归亚蕾/陈柏霖/鹿晗/王德顺/赵立新/李宜娟/尹航/夏子涵/林丛/杨青/周雨彤	喜剧/爱情/奇幻	2015	131	36612	0	七十岁的老太太沈梦君（归亚蕾 饰）年纪越大，脾气越大，渐渐的，除了管家李大海（王德顺 饰）还愿意留在她的身边，没有一个人愿意与她共处。在儿媳妇杨琴（李宜娟 饰）因压力过大而生病入院后，沈梦君终于被家人送入了养老院，气愤和悲伤之中，沈梦君决定在照相馆里留下自己最后的容颜，没想到却因此而开启了一段返老还童的奇幻旅程。/                                    /                                　　一眨眼之间，满面皱纹的沈梦君变成了二十岁的妙龄少女孟丽君（杨子珊 饰），重获青春的沈梦君不仅体会到了年轻带来的机遇与活力，更品尝到了爱情的酸涩滋味。然而，就在她沉浸在幸福的幻觉中不能自拔之时，一场意外将她抛到了人生的十字路口之前，二十岁还是七十岁，沈梦君必须做出选择。
杀破狼2	7.3	郑保瑞	吴京/托尼·贾/张晋/任达华/卢惠光/恭硕良/林嘉华/蔡瀚亿/艾威/姜皓文/张驰/寇占文/古天乐/袁嘉敏	剧情/动作/犯罪	2015	120	56049	0	倒卖人体器官集团的主脑洪文刚（古天乐 饰）罹患严重心脏病，为了活命他甚至计划摘取亲弟弟洪文标（恭硕良 饰）的心。为了完成卧底工作不惜身染毒瘾的志杰（吴京 饰）随老大去码头劫持试图逃跑的洪文标，他的上司见叔叔陈国华（任达华 饰）接到线报后也率队赶往现场，三方随即展开了激烈 的交火。侥幸逃生的志杰被送到泰国一所监狱，而掌控这里的狱头（张晋 饰）则与洪文刚有着千丝万缕的联系。女儿罹患血癌的狱警阿猜（托尼?贾 饰）对志杰的真实身份生出许多疑惑，而之后他无意中发现了监狱里的可怕秘密。/                                    /                                　　为了营救侄子，陈国华不远万里追到泰国。而洪文刚仍在做着垂死挣扎，他最终陷入癫狂……
失恋33天	7.3	滕华涛	白百何/文章/张嘉译/王耀庆/张子萱/郭京飞/曹翠芬/魏宗万/海清/廖凡/徐梵溪/李念/焦俊艳/艾如/叶一云/赵毅/姚笛/李晨/马伊琍/陈羽凡/张歆艺/张默/刘天佐/李晓峰	剧情/爱情	2011	110	32063	2	高端婚礼策划师黄小仙（白百何 饰）做梦也想不到，相恋七年的男友居然和自己的闺蜜走到了一起，这让一向刻薄强势的她无论如何也不能忍受。可是地球并不会因为某人的失恋而停止运转，黄小仙在面对情感失意的同时，还不得不面对工作上的压力。但是，在没有了爱情的这段时间里，黄小仙发现了很 多以前根本不会去注意的东西，例如那个总是与自己针峰相对的娘娘腔同事王小贱（文章 饰）并没有那么讨厌，例如钻石王老五与河南籍港台腔女子的结合到底是什么原理，还有如何走到金婚的秘诀。在明白了种种之后，也就是在黄小仙失恋的第33天里，在那个灯火阑珊的城市里，她发现“那人”其实一直伴她左右……/                                    /                                　　本片改编自豆友大丽花写的人气网络小说。
人在囧途	7.4	叶伟民	徐峥/王宝强/李曼/李小璐/左小青/张歆艺/黄小蕾/马健/邱林	喜剧	2010	91	3763	0	大老板李成功（徐峥 饰）遇上挤奶工牛耿（王宝强 饰）之后，旅途便频出状况。被情人逼迫回长沙老家跟老婆摊牌的李成功，机场遭遇到前往长沙讨债的乌鸦嘴牛耿。牛耿人如其名，不但耿直憨厚，而且透出一股傻气。先是登机前安检一口气喝完一大罐牛奶，后来又飞机上让乘务员开窗，好不容易折腾到飞机到达长沙上空，结果让他咒得因长沙大雪飞机被迫返航。无奈挤上火车硬座车厢的李成功刚松了一口气，却又一次在人群中看到牛耿。牛耿就像李成功生命中的瘟神一样，只要他“金口一开”，便会出现如他所言的意外。由于途中的频频意外，两人从火车换乘巴士，又从巴士爬上拖拉机。尽管牛耿的乌鸦嘴让李成功吃尽苦头，但这个混身透着傻气的青年却用自己真诚与乐观感染着李成功。一路的颠簸之后，两人最终到达长沙又回到各自的生活轨迹中去，然而旅途中所遭遇的种种却影响着两人之后的生活……/                                        /                                    　　本片由香港资深电影人文隽担当监制...
师父	8.1	徐浩峰	廖凡/宋佳/蒋雯丽/金士杰/宋洋/黄觉/麦迪娜/张傲月/马君/陈观泰/熊欣欣/戴立忍/裘继戎/李博	剧情/动作/武侠	2015	109	5478	0	民国年间南派咏春传人陈识（廖凡 饰）来到天津，结识了天津武术泰斗郑山傲（金士杰 饰），为在武术界开馆立足，郑山傲建议陈识用教徒弟踢馆的传统方式达成目的。几经周折，陈识娶了一名天津绝色女子赵国卉（宋佳 饰）为妻，还收下了本地青年耿良辰（宋洋 饰）为徒代其踢馆，夫妻二人暂居 在贫民窟，防被踢馆的仇家前来寻仇。陈识与妻子原本看不上好斗好色的耿良辰，但接触后也发觉了耿良辰的可取之处。但随着第八家武馆邹馆长（蒋雯丽 饰）和军界人士林希文（黄觉 饰）的介入，天津武术界面临着一场巨变，靠武术复兴家业的愿望、对妻子的爱意，以及作为师父的责任，让陈识陷入了两难之境。
湄公河行动	8	林超贤	张涵予/彭于晏/孙淳/陈宝国/冯文娟/刘显达/赵健/吴旭东/吴嘉龙/卢惠光/柏华力·莫高彼斯彻/维他亚·潘斯林加姆/战立国/石占杰/伍麟凯/Zobra/魏蔓/李佳璇/郝文婷/王笑龙/任蕊/BhubhingBhangsa-Ard/AchayaVishwanathGovind/NitidetCheryJunphli/KeeraliSivakuae/AlyaretJunamnoong/VattcharachaiSunthomsin/SarawutKumsorn/NongmalBunchu/SubashA/LSundaramoorthy/Itthiphon/SamritWarin/纳卡琳·加汉/钟建龙/张敏嘉/陈沛兴/林美芬/詹姆斯·阿媞邦德/Amigo	动作/犯罪	2016	124	118458	1	金三角湄公河上，一处被称为“鬼门关”的河段，两艘来自中国的商船遭到不明身份之人的枪击袭击。未过多久，泰国军方召开新闻发布会，指责中国商船贩卖毒品。虽然发布会宣称船员全部逃亡，但是十三具遭受残忍杀害的中国船员尸体很快被人发现。这起胆大妄为的案件令中国警方大为震惊，云南省缉毒总队队长高刚（张涵予 饰）受命带特别行动小组前往泰国，并与情报员方新武（彭于晏 饰）合作接洽。根据现有资料显示，这件案子由盘踞在金三角的大毒枭糯卡所为。糯卡贪婪残忍，胆大包天，是湄公河流域上一颗惊扰运输安全的毒瘤。为了将这个恶棍绳之于法，中国、老挝、缅甸开展了三国联合巡逻，集中对糯卡的制毒窝点进行扫荡。而高刚等人也深入最危险境地，与丧失人性的贩毒分子进行惨烈对决……/                                    /                                　　本片根据真实事件改编。
战狼	6.8	吴京	吴京/余男/斯科特·阿金斯/凯文·李/倪大红/凯尔·夏皮罗/石兆琪/周晓鸥/房子斌/郭广平/茹萍/洪卫/刘腾远/索纳·伊姆贝/塞缪尔·西维尔奇	动作/战争	2015	90	54554	2	在南疆围捕贩毒分子的行动中，特种部队狙击手冷锋（吴京 饰）公然违抗上级的命令，开枪射杀伤害了战友的暴徒武吉（周晓鸥 饰）。这一行动令冷锋遭到军方禁闭甚至强制退伍的处罚，不过各特种部队精英组成超级特种部队战狼中队的中队长龙小云（余男 饰），却十分欣赏这个敢作敢为且业务过硬的血性男儿，于是将其召入自己的麾下。在新近的一次演习中，冷锋凭借冷静的判断力从老首长处拔得一城，并且成功击退了突然出现的狼群。谁知在毫无准备的情况下，战狼遭到了一伙荷枪实弹分子的袭击。原来武吉的哥哥敏登（倪大红 饰）是一个冷酷无情的国际通缉犯，他手下豢养了一大批身怀绝技的雇佣兵。/                                    /                                　　为了给弟弟报仇，敏登派出雇佣兵千里迢迢奔着冷锋而来……
美人鱼	6.8	周星驰	邓超/罗志祥/张雨绮/林允/徐克/吴亦凡/李尚正/卢正雨/白客/孔连顺/田启文/文章/杨能/张美娥/李叶青/林子聪	喜剧/爱情/奇幻	2016	93	339211	0	白手起家的富豪刘轩（邓超 饰）新拍下了一块地皮，并联合了女强人李若兰（张雨绮 饰）使用恐怖的声纳技术驱赶鱼类，用于填海造地。人鱼一族长期居住在附近区域的海里，为了继续生存，带头大哥章鱼八哥（罗志祥 饰）派出了美人鱼珊珊（林允 饰）“色诱”刘轩，准备刺杀。没想到珊珊在卧底过程中与刘轩暗生情愫，一次次破坏暗杀计划，而李若兰却在准备一个更丧心病狂的邪恶计划……
夏洛特烦恼	7.4	闫非 / 彭大魔	沈腾/马丽/尹正/艾伦/王智/田雨/宋阳/常远/李萍/李立群/张一鸣/常世奎	喜剧/爱情	2015	104	144160	0	在学生时代的初恋秋雅（王智 饰）的婚礼上，毕业后吃软饭靠老婆养的夏洛（沈腾 饰）假充大款，出尽其丑，中间还被老婆马冬梅（马丽 饰）戳穿暴捶。混乱之中，夏洛意外穿越时空，回到了1997年的学生时代的课堂里。他懵懵懂懂，以为是场真实感极强的梦，于是痛揍王老师，强吻秋雅，还尝试跳楼让自己醒来。当受伤的他从病床上苏醒时，他意识到自己真的穿越了时空。既然有机会重新来过，那不如好好折腾一回。他勇敢追求秋雅、奚落优等生袁华（尹正 饰）、拒绝马冬梅的死缠烂打。后来夏洛凭借“创作”朴树、窦唯等人的成名曲而进入娱乐圈。/                                    /                                　　他的人生发生翻天覆地的巨变，但是内心某个地方却越来越感到空虚……
寻龙诀	7.6	乌尔善	陈坤/黄渤/舒淇/杨颖/夏雨/刘晓庆/颜卓灵/曹操/张东/黄西/僧格仁钦	剧情/动作/奇幻/冒险	2015	125	168273	0	上世纪80年代末，胡八一（陈坤 饰）、王凯旋（黄渤 饰）与Shirley杨（舒淇 饰）在美国打算金盆洗手，本来叱咤风云的摸金校尉沦为街头小贩被移民局追得满街跑。就在此时，意外发现20年前死在草原上的初恋对象丁思甜（杨颖 饰）可能还活着，胡八一、王凯旋、Shirley杨决定再入草原千年古墓……
我的少女时代	7.8	陈玉珊	宋芸桦/王大陆/李玉玺/简廷芮/刘德华/陈乔恩/言承旭/曲家瑞/屈中恒/钟欣凌/许杰辉/蔡颐榛/郭文颐/石知田/那维勋/林鹤轩/陈彦允/张立东/郑茵声/李绍祥	喜剧/爱情	2015	134	35947	0	成功白领林真心（陈乔恩 饰）因被上司压迫、下属吐槽，陷入了少女时代的深深回忆。原来曾是平凡少女（宋芸桦 饰）的真心有着一段爆笑却有充满甜蜜的初恋回忆。少女真心曾经暗恋校草欧阳非凡（李玉玺 饰），却总是不敌校花陶敏敏（简延芮 饰）的魅力，令她苦恼不已，一次意外却让她与校霸徐太宇（王大陆 饰）组成了“失恋阵线联盟”，他们势要夺爱，上演了一幕幕生猛、搞笑的青春趣事，而在相处中两人的情感也发生了微妙的变化……若干年后，来到成人世界的林真心又能否重拾初心呢？
唐人街探案	7.4	陈思诚	王宝强/刘昊然/佟丽娅/陈赫/肖央/小沈阳/潘粤明/马浴柯/张子枫/赵英俊/桑平/金士杰/大鹏/张国强/李叶青/陈祉希	喜剧/动作/悬疑	2015	135	82439	0	天赋异禀的结巴少年秦风（刘昊然 饰）警校落榜，被姥姥遣送泰国找远房表舅——号称“唐人街第一神探”，实则猥琐的大叔唐仁（王宝强 饰）散心。不想一夜花天酒地后，唐仁沦为离奇凶案嫌疑人，不得不和秦风亡命天涯……穷追不舍的警探黄兰登（陈赫 饰）、无敌幸运的警察坤泰（肖央 饰）、穷凶极恶的匪帮三人组、高深莫测的唐人街教父、美艳风骚的老板娘阿香（佟丽娅 饰）等悉数登场！七天！唐仁、秦风必须取长补短、同仇敌忾！他们能否躲避警察追捕、匪帮追杀、黑帮围剿，在短短七天内，完成找到失落的黄金并查明真凶，为自己洗清罪名这些逆天的任务？
捉妖记	6.8	许诚毅	白百何/井柏然/姜武/金燕玲/钟汉良/曾志伟/吴君如/汤唯/姚晨/闫妮/保剑锋/王栎鑫/郭晓东/李菁菁/田雨橙/张悦轩	喜剧/奇幻/古装	2015	118	244000	0	不知何年，妖界大乱。新妖王对前代势力痛下杀手，更誓要对前妖后腹中的孩子斩尽杀绝。妖后一行躲避追杀来到地处大山深处的永宁村，偏巧遇到捉妖天师霍小岚（白百何 饰）和罗刚（姜武 饰）。一番混乱过后，妖后自知气数将尽，遂将妖蛋放入永宁村保长宋天荫（井柏然 饰）的腹中保存。是夜，小岚所属的天师堂掌门人葛千户（钟汉良 饰）率领手下血洗永宁村，天荫不得已随小岚逃亡。时机成熟，萝卜妖怪胡巴降生人间。在接下来的旅途中，小岚和天荫对彼此的了解不断加深，而胡巴也终于成为他们中间最不可割舍的重要存在。/                                    /                                　　战争仍在继续，人和妖的界限日渐模糊……
心花路放	7	宁浩	黄渤/徐峥/袁泉/周冬雨/陶慧/岳小军/沈腾/张俪/马苏/刘美含/王砚辉/焦俊艳/郭涛/李晨/熊乃瑾/夏雨/刘仪伟/雷佳音/雍梦婷/梁浩	喜剧/爱情	2014	118	116934	0	二手音响商耿浩（黄渤 饰）婚姻失败，他想用锤子爆小三（李晨 饰）的头，却迟迟没有勇气，幸亏在剧组做制片的兄弟郝义（徐峥 饰）及时发现自暴自弃的耿浩，他决定带着耿浩开启一段“治愈之旅”。于是一对好基友带着一只狗上路，邂逅三千公里的“桃花”。“阿凡达女郎”（陶慧 饰）、“杀马特”周丽娟（周冬雨 饰）、“白富美”（张俪 饰），各式各样的女人接连登场，耿浩一路艳遇一路疗伤。时光倒转，5年前的此时，大龄文艺女青年（袁泉 饰）因为听了一首流浪歌手耿浩的歌，毅然前往大理……在经历一连串奇葩遭遇之后，大家都放下了心里的“阴影”，找到了通向幸福的道路。
西游降魔篇	7.1	周星驰 / 郭子健	文章/舒淇/黄渤/罗志祥/李尚正/陈炳强/赵志凌/周秀娜/杨迪/释彦能/冯勉恒/谢晶晶/何文辉/唐艺昕/卢正雨/张煜雯/葛行于/张超理/程思寒	喜剧/奇幻/冒险	2013	110	124699	0	大唐年间妖魔横行，一小渔村因为饱受鱼妖之害请来道士（冯勉恒 饰）除妖，年轻驱魔人陈玄奘（文章 饰）前来帮忙却被误认为骗子，幸亏职业赏金驱魔人段小姐（舒淇 饰）帮助玄奘制服了鱼妖真身（李尚正 饰）。二人又在高家庄为制服猪妖猪刚鬣（陈炳强 饰） 而再次相遇，这次除妖没有成功 ，但是段小姐却对玄奘二见钟情。玄奘求助师父，得知除妖的办法是去找被压在五指山下的孙悟空（黄渤 饰）帮忙，于是他准备前往五指山，途中又遇到段小姐和手下五煞，段小姐连蒙带哄想与玄奘在一起却屡次遭拒，在四妹（周秀娜 饰）调教下想变得更有女人味却适得其反。二人决裂后玄奘独自上路，与此同时降魔师（释延能 饰）、天残脚（张超理 饰）、空虚公子（罗志祥 饰）也一同前往除妖。经过千辛万苦玄奘终于找到孙悟空，段小姐又再次出现并交给玄奘一件重要的东西，猪妖终于被降服，但是更大的危机又出现在了玄奘面前，原...
滚蛋吧！肿瘤君	7.5	韩延	白百何/吴彦祖/李媛/刘芮麟/程伊/刘莉莉/李建义/张子萱/沈腾	喜剧/爱情	2015	128	51179	0	即将迎来29岁生日的青年漫画家熊顿（白百何 饰），却接二连三遭遇了常人难以想象的打击。工作被炒，男友跳票，还莫名其妙到警察局走了一遭。更糟糕的是，她在聚会上突然晕倒，经检查后才发现自己的身体出了问题。一向乐观开朗的熊顿并未被病魔吓到和打败，她笑嘻嘻地调侃吐槽周遭的人和事，一脸花痴地望着英俊帅气的梁医生（吴彦祖 饰）。最重要的是，身处逆境的她身边还有父母（李建义 & 刘莉莉 饰）以及夏梦（李媛 饰）等一班好友的鼎力支持。无论驶向哪里，熊顿永远不会孤独，不会放弃……/                                    /                                　　本片根据已故漫画家熊顿以自身经历创作的同名漫画改编。
港囧	5.7	徐峥	徐峥/赵薇/包贝尔/杜鹃/葛民辉/李灿森/潘虹/赵有亮/朱媛媛/王迅/冯勉恒/王晶/叶竞生/林晓峰/车保罗/苑琼丹/林雪/江约诚/郑丹瑞/田启文/吴耀汉/林路迪/詹瑞文/庄思敏/陶虹	喜剧	2015	114	161410	0	徐来（徐峥 饰）大学时代的理想是能够成为一名出色的油画家，他的坚持和不屈吸引了美丽女孩杨伊（杜鹃 饰）的注意，随着时间的推移，他们相爱了。然而，徐来的这段初恋却最终被残酷的现实所粉碎，之后，他同一直守候在自己身边的内衣公司老板千金蔡波（赵薇 饰）走到了一起。/                                    /                                　　毕业后，徐来和蔡波结婚，成了蔡家的“上门女婿”，他放弃了理想，开始经营内衣公司，尽管事业蒸蒸日上，但徐来的心中始终留存着一抹遗憾。某日，徐来意外得知如今已经成为画家的杨伊将在香港举行她的个展，心中五味杂陈的他带着一家老小前往香港，名为旅游，实则是相同杨伊“再续前缘”。然而，徐来的计划却屡屡遭到小舅子蔡拉拉（包贝尔 饰）的破坏，蔡拉拉正在拍摄一部家庭纪录片，在他的镜头背后，徐来发现了一个陌生的自己。
寒战2	6.9	梁乐民 / 陆剑青	郭富城/梁家辉/杨采妮/彭于晏/李治廷/文咏珊/周润发/马伊琍/杨祐宁/张国柱/吴樾/周笔畅/李子雄/骆应钧/林文龙	剧情/动作/犯罪	2016	110	67826	0	冲锋车案件主谋李家俊（彭于晏 饰）设计逃脱警方控制，与幕后黑手汇合，联手策划更大阴谋。而现警务处长刘杰辉（郭富城 饰），前警务副处长李文彬（梁家辉 饰），和资深大律师简奥伟（周润发 饰）被卷入其中，香港将面临更加大的危机……
